reaction,log10_bridging_centrality,log10_betweeness_centrality,clustering_coefficient,log10_degree,cascadeNum,is_essential
2AGPEAT120,0,0,0,0.7781512503836436,0,0
2AGPEAT140,0,0,0,0.7781512503836436,0,0
2AGPEAT141,0,0,0,0.7781512503836436,0,0
2AGPEAT160,0,0,0,0.7781512503836436,0,0
2AGPEAT161,2.357092101549441,2.503220137227679,0,0.8450980400142568,0,0
2AGPEAT180,0,0,0,0.6989700043360189,0,0
2AGPEAT181,2.1140227506427665,2.193203996690391,0,0.7781512503836436,0,0
2AGPGAT120,2.7113886672699095,3.438387395206172,0,0.9030899869919435,0,0
2AGPGAT140,2.7070462139967124,3.434044941932975,0,0.9030899869919435,0,0
2AGPGAT141,2.532721373309737,3.2597201012459993,0,0.9030899869919435,0,0
2AGPGAT160,2.7117050937707847,3.4387038217070467,0,0.9030899869919435,0,0
2AGPGAT161,2.4329016457329424,3.3249962484234232,0,0.9542425094393249,0,0
2AGPGAT180,2.4653214976472597,3.1343282786058357,0,0.8450980400142568,0,0
2AGPGAT181,2.269468163846324,3.110410244089423,0,0.9030899869919435,0,0
2DGULRGx,2.7531311088449355,2.7421357245434725,0.16666666666666666,0.47712125471966244,0,0
2DGULRGy,2.7531311088449355,2.7421357245434725,0.16666666666666666,0.47712125471966244,0,0
2DGULRx,0.47712125471966244,0,0,0.3010299956639812,0,0
2DGULRy,0.47712125471966244,0,0,0.3010299956639812,0,0
2MAHMP,0,0,0,0.3010299956639812,0,0
3AMACHYD,2.7630534402996147,3.064083435963596,0,0.3010299956639812,1,0
3HAD100,3.1815577738627865,3.6586790285824486,0.16666666666666666,0.6020599913279624,3,0
3HAD120,3.5991914332571953,3.532244643626582,0,0.47712125471966244,2,0
3HAD121,3.0551233889069196,3.532244643626582,0,0.47712125471966244,2,0
3HAD140,3.3659077727380144,3.3659077727380144,0.16666666666666666,0.6020599913279624,2,0
3HAD141,3.532244643626582,3.532244643626582,0,0.47712125471966244,2,0
3HAD160,3.532244643626582,3.532244643626582,0,0.47712125471966244,2,0
3HAD161,3.5991914332571953,3.532244643626582,0,0.47712125471966244,2,0
3HAD180,3.356153384570901,3.532244643626582,0,0.47712125471966244,2,0
3HAD181,3.356153384570901,3.532244643626582,0,0.47712125471966244,2,0
3HAD40,3.0551233889069196,3.532244643626582,0,0.47712125471966244,2,0
3HAD60,3.0551233889069196,3.532244643626582,0,0.47712125471966244,2,0
3HAD80,3.356153384570901,3.532244643626582,0,0.47712125471966244,2,0
3HCINNMH,0,0,0,0,0,0
3HPPPNH,0,0,0,0,0,0
3KGK,3.219060332448861,3.0429690733931802,0,0.3010299956639812,0,0
3OAR100,3.9648251178833886,3.6637951222194074,0,0.3010299956639812,4,0
3OAR120,3.7151673578484576,3.5390760987927767,0,0.3010299956639812,3,0
3OAR121,3.7151673578484576,3.5390760987927767,0,0.3010299956639812,3,0
3OAR140,0.8906401429756691,1.0981697064042955,0.4444444444444444,0.6989700043360189,0,1
3OAR141,3.7151673578484576,3.5390760987927767,0,0.3010299956639812,3,0
3OAR160,3.7151673578484576,3.5390760987927767,0,0.3010299956639812,3,0
3OAR161,3.7151673578484576,3.5390760987927767,0,0.3010299956639812,3,0
3OAR180,3.7151673578484576,3.5390760987927767,0,0.3010299956639812,3,0
3OAR181,3.7151673578484576,3.5390760987927767,0,0.3010299956639812,3,0
3OAR40,3.5390760987927767,3.5390760987927767,0,0.47712125471966244,3,0
3OAR60,3.7151673578484576,3.5390760987927767,0,0.3010299956639812,3,0
3OAR80,3.7151673578484576,3.5390760987927767,0,0.3010299956639812,3,0
3OAS100,2.8058631066239927,3.8658994098583137,0.1865671641791045,1.2304489213782739,5,0
3OAS120,2.792608349507226,3.8526446527415463,0.1865671641791045,1.2304489213782739,4,0
3OAS121,2.7820368093364496,3.787715450248178,0.22115384615384615,1.1760912590556813,4,0
3OAS140,2.2700022718655686,3.0749928239434814,0.19402985074626866,1.2304489213782739,0,1
3OAS141,2.920052327221257,3.9537596917332287,0.19327731092436976,1.2041199826559248,4,0
3OAS160,2.6685696802394765,3.7286059834737975,0.1865671641791045,1.2304489213782739,4,0
3OAS161,2.7054363406225326,3.7654726438568535,0.1865671641791045,1.2304489213782739,4,0
3OAS180,2.7054363406225326,3.7654726438568535,0.1865671641791045,1.2304489213782739,4,0
3OAS181,2.6894183207884526,3.7494546240227735,0.1865671641791045,1.2304489213782739,4,0
3OAS60,2.920052327221257,3.9537596917332287,0.19327731092436976,1.2041199826559248,4,0
